,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
461,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Depression & Obsession,4356
462,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Save Me,4357
463,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Carry On,4358
464,,,,,,,,,,,,,,,,2 Chainz,"['2 Chainz', 'Travis Scott']",4 AM,4373
465,[],,,,,,,,,,,,,,,Descendants 2 Cast,['Descendants 2 Cast'],It's Goin' Down,4384
466,,,,,,,,,,,,,,,,China Anne McClain,"['China Anne McClain', ' Thomas Doherty', 'Dylan Playfair']",What's My Name,4389
467,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",,,,,,,,,,,,,,,JAY-Z,['JAY-Z'],The Story Of O.J.,4409
468,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Lil Uzi Vert']",F**k That Check Up,4411
469,,,,,,,,,,,,,,,,JAY-Z,['JAY-Z'],4:44,4416
470,['social media pop'],,,,,,,,,,,,,,,Jake Paul,"['Jake Paul', 'Erika Costell', 'Uncle Kade']",Jerika,4420
471,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",234.973,True,,,,,,,,,,,,63.0,JAY-Z,"['JAY-Z', 'Damian ""Jr. Gong"" Marely']",Bam,4427
472,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",251.413,True,,,,,,,,,,,,62.0,JAY-Z,"['JAY-Z', 'Beyonce']",Family Feud,4429
473,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",178.066,True,,,,,,,,,,,,60.0,JAY-Z,['JAY-Z'],Kill Jay Z,4430
474,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",289.853,True,,,,,,,,,,,,61.0,JAY-Z,"['JAY-Z', 'Gloria Carter']",Smile,4431
475,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",206.133,True,,,,,,,,,,,,61.0,JAY-Z,"['JAY-Z', 'Frank Ocean']",Caught Their Eyes,4432
476,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",143.986,True,,,,,,,,,,,,58.0,JAY-Z,['JAY-Z'],Moonlight,4433
477,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",174.426,True,,,,,,,,,,,,60.0,JAY-Z,['JAY-Z'],Marcy Me,4434
478,"['atl hip hop', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Migos,['Migos'],T-Shirt,4437
479,,,,,,,,,,,,,,,,2 Chainz x Gucci Mane x Quavo,['2 Chainz x Gucci Mane x Quavo'],Good Drank,4450
480,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Look At Me!,4453
481,"['pop', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Bryson Tiller,['Bryson Tiller'],Self-Made,4471
482,,,,,,,,,,,,,,,,Martin Garrix x Troye Sivan,['Martin Garrix x Troye Sivan'],There For You,4474
483,,,,,,,,,,,,,,,,Katy Perry,"['Katy Perry', 'Skip Marley']",Chained To The Rhythm,4479
484,,,,,,,,,,,,,,,,Zayn / Taylor Swift,['Zayn / Taylor Swift'],I Don't Wanna Live Forever (Fifty Shades Darker),4488
485,,,,,,,,,,,,,,,,Maroon 5,"['Maroon 5', 'Kendrick Lamar']",Don't Wanna Know,4530
486,,,,,,,,,,,,,,,,Machine Gun Kelly x Camila Cabello,['Machine Gun Kelly x Camila Cabello'],Bad Things,4543
487,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Kendrick Lamar,['Kendrick Lamar'],The Heart Part 4,4546
