,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
235,,"['chicago rap', 'hip hop', 'rap']",147.668,False,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,148.07,53,Kanye West,,Junya,2018
236,,"['chicago rap', 'hip hop', 'rap']",242.4,False,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,61,Kanye West,,Believe What I Say,2019
237,,"['chicago rap', 'hip hop', 'rap']",195.17,False,0.459,0.431,9,-8.375,0,0.256,0.795,0.0,0.274,0.128,177.3,54,Kanye West,,Jonah,2020
238,,"['chicago rap', 'hip hop', 'rap']",49.292,False,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03e-05,0.532,0.327,76.61,54,Kanye West,,Jesus Is Lord,2021
239,,"['dfw rap', 'melodic rap', 'pop', 'rap']",184.213,True,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,69,Post Malone,,Motley Crew,2022
240,,"['chicago rap', 'hip hop', 'rap']",198.613,False,0.792,0.548,4,-7.079,1,0.082,0.0784,7.26e-05,0.167,0.197,110.105,55,Kanye West,,Remote Control,2023
241,,"['chicago rap', 'hip hop', 'rap']",333.461,False,0.325,0.311,10,-7.481,1,0.0442,0.289,6.74e-05,0.11,0.0789,92.744,50,Kanye West,,God Breathed,2024
242,,"['chicago rap', 'hip hop', 'rap']",145.301,False,0.764,0.422,0,-7.265,0,0.119,0.0409,0.0,0.152,0.268,82.986,58,Kanye West,,Heaven and Hell,2027
243,,"['chicago rap', 'hip hop', 'rap']",197.898,False,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,58,Kanye West,,24,2028
244,,"['chicago rap', 'hip hop', 'rap']",358.621,False,0.381,0.528,5,-6.997,1,0.0449,0.102,0.0,0.269,0.256,97.207,59,Kanye West,,Pure Souls,2029
245,,"['chicago rap', 'hip hop', 'rap']",178.061,False,0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,135.382,61,Kanye West,,No Child Left Behind,2030
246,,"['chicago rap', 'hip hop', 'rap']",128.313,False,0.534,0.491,10,-7.945,1,0.0545,0.849,0.0,0.192,0.428,105.989,47,Kanye West,,Donda,2031
247,,"['chicago rap', 'hip hop', 'rap']",221.25,False,0.513,0.644,0,-6.387,1,0.344,0.201,0.00033,0.194,0.087,166.35,53,Kanye West,,Keep My Spirit Alive,2032
248,,"['chicago rap', 'hip hop', 'rap']",297.0,False,0.7,0.572,4,-6.459,1,0.0515,0.453,0.0,0.0871,0.686,109.985,53,Kanye West,,Jail pt 2,2033
249,,"['electropop', 'etherpop', 'indie poptimism', 'pop']",176.413,False,0.523,0.702,6,-6.74,0,0.0462,0.00397,0.0325,0.063,0.494,179.992,55,Halsey,,"I am not a woman, I'm a god",2034
250,,"['chicago rap', 'hip hop', 'rap']",183.296,False,0.67,0.675,6,-4.624,0,0.179,0.0581,0.0,0.433,0.263,90.948,56,Kanye West,,New Again,2035
251,,"['chicago rap', 'hip hop', 'rap']",162.108,False,0.711,0.428,1,-7.274,0,0.307,0.145,0.0,0.534,0.197,83.036,54,Kanye West,,Lord I Need You,2036
252,,"['chicago rap', 'hip hop', 'rap']",310.393,False,0.44,0.465,3,-6.592,1,0.0318,0.689,1.26e-06,0.384,0.241,126.937,57,Kanye West,,Come to Life,2037
253,,"['brooklyn drill', 'hip hop', 'rap']",215.0,True,0.662,0.686,7,-8.302,1,0.332,0.251,5.59e-06,0.349,0.678,143.971,57,Pop Smoke,,Tell The Vision (feat. Kanye West & Pusha T),2038
254,,['pop'],143.746,True,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999,77,Olivia Rodrigo,,brutal,2039
255,,"['melodic rap', 'pluggnb', 'rap']",190.344,True,0.681,0.687,9,-7.612,1,0.332,0.0555,0.0,0.062,0.588,108.641,58,Lil Tecca,,REPEAT IT (with Gunna),2041
256,,"['melodic rap', 'rap', 'trap']",188.025,True,0.672,0.654,1,-4.528,1,0.0966,0.201,0.0,0.1,0.404,78.512,63,Trippie Redd,,Matt Hardy 999,2042
257,,"['contemporary country', 'country', 'country road']",166.506,False,0.535,0.859,6,-2.922,1,0.0344,0.0528,0.0,0.32,0.698,102.008,64,Chris Young,,Famous Friends,2048
258,,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",195.962,True,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,66,Nelly,,Lil Bit (feat. Florida Georgia Line),2049
259,,['pop'],227.395,False,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,75,Maroon 5,,Beautiful Mistakes (feat. Megan Thee Stallion),2050
260,,"['melodic rap', 'rap', 'trap']",247.714,True,0.756,0.698,6,-5.464,1,0.178,0.0849,0.0,0.221,0.66,77.497,62,Trippie Redd,,Rich MF (feat. Lil Durk),2051
261,,['florida rap'],212.063,True,0.321,0.525,7,-9.891,0,0.131,0.0668,0.0,0.137,0.152,75.774,53,Rod Wave,,Already Won (feat. Lil Durk),2052
262,,"['melodic rap', 'rap', 'trap']",152.024,True,0.74,0.564,8,-6.71,1,0.0688,0.0126,0.0,0.126,0.129,158.114,53,Trippie Redd,,Betrayal (feat. Drake),2053
263,,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",168.253,False,0.689,0.695,11,-5.22,1,0.0429,0.019,0.0,0.123,0.359,75.05,56,Skrillex,,Don’t Go (with Justin Bieber & Don Toliver),2054
264,,"['pop', 'singer-songwriter pop', 'uk pop']",215.506,False,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609,66,Ed Sheeran,,Visiting Hours,2056
265,,"['melodic rap', 'rap', 'trap']",181.714,True,0.422,0.491,6,-5.703,1,0.368,0.195,0.0,0.142,0.67,184.344,56,Trippie Redd,,Holy Smokes (feat. Lil Uzi Vert),2057
266,,"['melodic rap', 'rap', 'trap']",236.883,True,0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,73,Trippie Redd,,Miss The Rage,2058
267,,"['melodic rap', 'rap', 'trap']",160.0,True,0.674,0.824,1,-4.74,1,0.0588,0.0309,0.0,0.0567,0.567,150.017,54,Trippie Redd,,MP5,2060
268,,['cali rap'],163.26,False,0.588,0.856,0,-5.288,0,0.0648,0.00128,2.78e-06,0.109,0.359,150.008,58,Sueco,,Paralyzed,2061
269,,"['alt z', 'gen z singer-songwriter']",204.093,False,0.422,0.345,0,-6.365,1,0.0345,0.879,1.15e-05,0.149,0.224,78.293,67,Clinton Kane,,I GUESS I'M IN LOVE,2062
270,,['florida rap'],231.771,True,0.425,0.672,0,-5.586,1,0.245,0.0921,0.0,0.0903,0.15,85.801,51,Rod Wave,,Get Ready (feat. Kodak Black),2063
271,,"['melodic rap', 'rap', 'trap']",136.377,True,0.634,0.804,11,-6.688,0,0.477,0.162,0.0,0.351,0.809,147.259,51,Trippie Redd,,Danny Phantom (feat. XXXTENTACION),2064
272,,['florida rap'],155.259,True,0.712,0.636,1,-7.188,1,0.0566,0.303,0.0,0.112,0.126,134.927,59,Rod Wave,,What's Wrong,2065
273,,"['melodic rap', 'rap', 'trap']",159.452,True,0.718,0.684,11,-5.16,0,0.248,0.0182,0.0,0.233,0.856,146.084,58,Trippie Redd,,Demon Time,2066
274,,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",159.24,True,0.944,0.693,11,-8.605,0,0.266,0.00789,0.0,0.164,0.626,134.061,45,Young Thug,,Tick Tock,2067
275,,"['k-pop', 'k-pop boy group', 'pop']",187.585,False,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.0,0.337,0.646,124.925,73,BTS,,Permission to Dance,2068
276,,['florida rap'],193.493,True,0.509,0.762,8,-4.57,1,0.0829,0.0922,0.0,0.0883,0.317,84.847,49,Rod Wave,,Time Heals,2069
277,,"['melodic rap', 'rap']",230.88,True,0.663,0.432,8,-8.553,1,0.0382,0.448,2.62e-05,0.152,0.307,130.108,55,YNW Melly,,Mind of Melvin (feat. Lil Uzi Vert),2070
