,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
43,['australian hip hop'],152.979,True,0.731,0.734,7,-3.145,0,0.0515,0.0382,1.67e-06,0.353,0.797,101.008,82,The Kid LAROI,GIRLS
44,['australian indie rock'],186.0,False,0.404,0.393,2,-6.607,1,0.0262,0.806,0.000443,0.0938,0.403,98.217,81,Royel Otis,Linger - SiriusXM Session
45,[],164.074,True,0.71,0.556,11,-6.443,1,0.188,0.00179,0.0,0.36,0.372,79.035,69,JT,OKAY
46,['classic oklahoma country'],212.466,False,0.562,0.564,9,-6.946,1,0.0361,0.705,0.0,0.0932,0.314,82.685,78,Zach Bryan,Better Days (feat. John Mayer)
47,"['alternative pop rock', 'pov: indie']",74.378,False,0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,85,Dominic Fike,misses
48,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",133.805,True,0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,88,Charli xcx,360
49,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",151.739,False,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,89,Charli xcx,Apple
50,"['contemporary country', 'country']",230.6,False,0.442,0.603,11,-5.719,1,0.0304,0.602,0.0,0.161,0.456,86.494,75,Kelsea Ballerini,Cowboys Cry Too (with Noah Kahan)
51,['pop'],163.0,False,0.778,0.618,2,-4.257,1,0.0514,0.000269,0.000219,0.172,0.579,119.994,78,Katy Perry,WOMAN’S WORLD
52,[],178.359,True,0.742,0.564,1,-6.675,1,0.271,0.0607,0.0,0.122,0.345,156.916,70,BossMan Dlow,PJ (feat. Lil Baby)
53,['classic oklahoma country'],216.253,False,0.518,0.526,4,-8.467,1,0.0407,0.213,0.000168,0.0853,0.195,86.845,75,Zach Bryan,Sandpaper (feat. Bruce Springsteen)
54,"['pov: indie', 'psychedelic pop']",159.245,False,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,92,Djo,End of Beginning
55,['classic oklahoma country'],185.52,True,0.543,0.492,0,-8.313,1,0.0574,0.673,0.000163,0.112,0.178,79.886,76,Zach Bryan,The Way Back
56,['classic oklahoma country'],189.88,True,0.558,0.579,4,-7.161,1,0.0531,0.326,0.000398,0.157,0.365,78.131,70,Zach Bryan,Memphis; The Blues (feat. John Moreland)
57,['pop'],131.872,True,0.749,0.729,6,-3.19,0,0.0321,0.261,0.0,0.113,0.816,111.004,89,Tate McRae,greedy
58,"['dance pop', 'pop']",150.746,False,0.765,0.741,5,-7.361,0,0.274,0.338,8.87e-05,0.132,0.68,128.044,71,Camila Cabello,HOT UPTOWN (feat. Drake)
59,['alt z'],242.666,True,0.533,0.553,7,-6.486,1,0.0296,0.498,0.0,0.0911,0.391,102.043,82,Gracie Abrams,us. (feat. Taylor Swift)
60,['k-pop'],182.84,False,0.79,0.915,4,-2.251,1,0.146,0.0366,0.0,0.0785,0.726,97.47,83,Jimin,Smeraldo Garden Marching Band (feat. Loco)
61,['pop'],334.084,False,0.606,0.338,0,-10.555,1,0.048,0.315,0.0,0.106,0.238,119.88,79,Taylor Swift,Who’s Afraid of Little Old Me?
