,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
3008,,,,,,,,,,,,,,,,A Boogie Wit da Hoodie,"['A Boogie Wit da Hoodie', 'Roddy Ricch', ' Gunna', 'London On Da Track']",Numbers
3011,,,,,,,,,,,,,,,,Bad Bunny,"['Bad Bunny', 'Yaviah']",Bichiyal
3012,,,,,,,,,,,,,,,,Lil Baby,"['Lil Baby', 'Young Thug']",We Should
3015,,,,,,,,,,,,,,,,Bad Bunny X Anuel AA,['Bad Bunny X Anuel AA'],Esta Cabron Ser Yo
3025,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Post Malone', 'Clever']",Forever
3026,,,,,,,,,,,,,,,,Garth Brooks,"['Garth Brooks', 'Blake Shelton']",Dive Bar
3034,,,,,,,,,,,,,,,,Pop Smoke,"['Pop Smoke', 'Quavo']",Shake The Room
3039,,,,,,,,,,,,,,,,Migos,"['Migos', ' Young Thug', 'Travis Scott']",g n f (Give No Fxk)
3041,,,,,,,,,,,,,,,,A Boogie Wit da Hoodie,"['A Boogie Wit da Hoodie', 'Young Thug']",Might Not Give Up
3043,,,,,,,,,,,,,,,,A Boogie Wit da Hoodie,"['A Boogie Wit da Hoodie', 'DaBaby']",Stain
3053,,,,,,,,,,,,,,,,Lil Wayne,"['Lil Wayne', 'Big Sean', 'Lil Baby']",I Do It
3056,,,,,,,,,,,,,,,,Lil Nas X,"['Lil Nas X', 'Cardi B Or Nas']",Rodeo
3059,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Justin Timberlake']",Believe
3068,,,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Roddy Ricch']",Letter To Nipsey
3072,,,,,,,,,,,,,,,,Meghan Trainor,"['Meghan Trainor', 'Nicki Minaj']",Nice To Meet Ya
3073,,,,,,,,,,,,,,,,Justin Bieber,"['Justin Bieber', 'Kehlani']",Get Me
3074,,,,,,,,,,,,,,,,MoneyBagg Yo,"['MoneyBagg Yo', 'Lil Baby']",U Played
3079,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Ed Sheeran']",Those Kinda Nights
3083,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Young M.A']",Unaccommodating
3084,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Royce da 5\'9""', 'White Gold']",You Gon' Learn
3087,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Skylar Grey']",Leaving Heaven
3096,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Don Toliver']",No Regrets
3097,,,,,,,,,,,,,,,,Eminem,"['Eminem', 'Anderson .Paak']",Lock It Up
3111,,,,,,,,,,,,,,,,Moneybagg Yo X Megan Thee Stallion,['Moneybagg Yo X Megan Thee Stallion'],All Dat
3112,['deep pop r&b'],,,,,,,,,,,,,,,Layton Greene,"['Layton Greene', ' Lil Baby', ' City Girls', 'PnB Rock']",Leave Em Alone
3114,,,,,,,,,,,,,,,,Moneybagg Yo,"['Moneybagg Yo', 'DaBaby']",Protect da Brand
3123,,,,,,,,,,,,,,,,JACKBOYS,"['JACKBOYS', 'Sheck Wes']",GANG GANG
3124,,,,,,,,,,,,,,,,Don Toliver,"['Don Toliver', 'Quavo', 'Offset']",HAD ENOUGH
3127,,,,,,,,,,,,,,,,JACKBOYS,"['JACKBOYS', 'Don Toliver']",WHAT TO DO?
3128,['melodic rap'],,,,,,,,,,,,,,,Lil Tecca,['Lil Tecca'],Ran$om
3130,,,,,,,,,,,,,,,,JACKBOYS,"['JACKBOYS', ' Pop Smoke', 'Travis Scott']",GATTI
3166,"['melodic rap', 'nyc rap']",,,,,,,,,,,,,,,Lil Tjay,['Lil Tjay'],F.N
3185,,,,,,,,,,,,,,,,Lil Mosey x Gunna,['Lil Mosey x Gunna'],Stuck In A Dream
3196,,203.56,False,0.498,0.788,11.0,-5.361,1.0,0.0402,0.000934,0.0,0.13,0.457,138.171,57.0,Brantley Gilbert,"['Brantley Gilbert', 'Lindsay Ell']",What Happens In A Small Town
3208,,,,,,,,,,,,,,,,Kygo X Whitney Houston,['Kygo X Whitney Houston'],Higher Love
3218,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,Ariana Grande,"['Ariana Grande', ' Miley Cyrus', 'Lana Del Rey']",Don't Call Me Angel (Charlie's Angels)
3219,"['dfw rap', 'melodic rap', 'rap']",,,,,,,,,,,,,,,Post Malone,"['Post Malone', 'Swae Lee']",Sunflower (Spider-Man: Into The Spider-Verse)
3234,"['dfw rap', 'melodic rap', 'rap']",,,,,,,,,,,,,,,Post Malone,['Post Malone'],Saint-Tropez
