Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2013-02-13,Radioactive,Imagine Dragons,8,9,7,4,https://charts-static.billboard.com/img/2012/08/imagine-dragons-ud7-radioactive-qrr-180x180.jpg
2013-02-13,Diamonds,Rihanna,9,8,3,4,https://charts-static.billboard.com/img/2012/10/rihanna-k0p-diamonds-wld-180x180.jpg
2013-02-13,Sweet Nothing,Calvin Harris Featuring Florence Welch,10,10,10,4,https://charts-static.billboard.com/img/2012/10/calvin-harris-ffl-180x180.jpg
2013-02-13,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,11,13,11,4,https://charts-static.billboard.com/img/2009/07/justin-bieber-f8k-180x180.jpg
2013-02-13,Swimming Pools (Drank),Kendrick Lamar,12,11,8,4,https://charts-static.billboard.com/img/2012/08/kendrick-lamar-atc-swimmingpoolsdrank-9i9-180x180.jpg
2013-02-13,Little Talks,Of Monsters And Men,13,14,13,4,https://charts-static.billboard.com/img/2011/11/of-monsters-and-men-03q-little-talks-jig-180x180.jpg
2013-02-13,Some Nights,fun.,14,12,11,4,https://charts-static.billboard.com/img/2009/09/fun-0dk-180x180.jpg
2013-02-13,The A Team,Ed Sheeran,15,17,15,4,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
2013-02-13,Die Young,Ke$ha,16,15,12,4,https://charts-static.billboard.com/img/2012/10/kesha-1uk-dieyoung-tsg-180x180.jpg
2013-02-13,Home,Phillip Phillips,17,16,16,4,https://charts-static.billboard.com/img/1840/12/phillip-phillips-75j-180x180.jpg
2013-02-13,One More Night,Maroon 5,18,18,15,4,https://charts-static.billboard.com/img/1840/12/maroon-5-9st-180x180.jpg
2013-02-13,I Will Wait,Mumford & Sons,19,24,19,4,https://charts-static.billboard.com/img/2012/08/mumford-sons-miw-106x106.jpg
2013-02-13,Lights,Ellie Goulding,20,22,20,4,https://charts-static.billboard.com/img/2011/08/ellie-goulding-4hg-lights-4go-180x180.jpg
2013-02-13,I Cry,Flo Rida,21,21,20,4,https://charts-static.billboard.com/img/2012/09/flo-rida-8v1-106x106.jpg
2013-02-13,Gangnam Style,PSY,22,20,13,4,https://charts-static.billboard.com/img/2012/07/psy-auz-gangnam-style-gr3-180x180.jpg
2013-02-13,Sail,AWOLNATION,23,30,23,4,https://charts-static.billboard.com/img/2011/02/awolnation-e35-sail-sgs-180x180.jpg
2013-02-13,Clique,Kanye West| Jay-Z| Big Sean,24,23,22,4,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2013-02-13,Hall Of Fame,The Script Featuring will.i.am,25,31,25,4,https://charts-static.billboard.com/img/2012/09/the-script-lb9-106x106.jpg
