,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
880,,,,,,,,,,,,,,,,XXXTENTACION,['XXXTENTACION'],Look At Me!,4453
881,"['pop', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,Bryson Tiller,['Bryson Tiller'],Self-Made,4471
882,,,,,,,,,,,,,,,,Martin Garrix x Troye Sivan,['Martin Garrix x Troye Sivan'],There For You,4474
883,,,,,,,,,,,,,,,,Katy Perry,"['Katy Perry', 'Skip Marley']",Chained To The Rhythm,4479
884,,,,,,,,,,,,,,,,Zayn / Taylor Swift,['Zayn / Taylor Swift'],I Don't Wanna Live Forever (Fifty Shades Darker),4488
885,,,,,,,,,,,,,,,,Maroon 5,"['Maroon 5', 'Kendrick Lamar']",Don't Wanna Know,4530
886,,,,,,,,,,,,,,,,Machine Gun Kelly x Camila Cabello,['Machine Gun Kelly x Camila Cabello'],Bad Things,4543
887,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Kendrick Lamar,['Kendrick Lamar'],The Heart Part 4,4546
888,[],,,,,,,,,,,,,,,D.R.A.M.,"['D.R.A.M.', 'Lil Yachty']",Broccoli,4605
889,,,,,,,,,,,,,,,,KALEO,['KALEO'],Way Down We Go,4619
890,,,,,,,,,,,,,,,,Major Lazer,"['Major Lazer', 'Justin Bieber', 'MO']",Cold Water,4651
891,"['melodic rap', 'pop rap', 'rap', 'trap']",,,,,,,,,,,,,,,A Boogie Wit da Hoodie,['A Boogie Wit da Hoodie'],My Sh*t,4668
892,"['dance rock', 'new wave pop']",,,,,,,,,,,,,,,Wham!,"['Wham!', 'George Michael']",Careless Whisper,4683
893,,,,,,,,,,,,,,,,Young Thug,"['Young Thug', 'Travis Scott', 'Quavo']",Pick Up The Phone,4685
894,,,,,,,,,,,,,,,,Nicki Minaj X Mike WiLL Made-It,['Nicki Minaj X Mike WiLL Made-It'],Black Barbies,4687
895,,,,,,,,,,,,,,,,J. Cole,['J. Cole'],She's Mine Pt. 1,4693
896,[],,,,,,,,,,,,,,,PIKOTARO,['PIKOTARO'],PPAP (Pen-Pineapple-Apple-Pen),4743
897,"['dance pop', 'pop']",,,,,,,,,,,,,,,Lady Gaga,['Lady Gaga'],A-YO,4775
