,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
95,,['gambian hip hop'],152.137,True,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,64,JNR CHOI,,TO THE MOON,1455
96,,"['r&b', 'rap']",198.005,True,0.524,0.233,3,-12.991,0,0.104,0.869,4.59e-06,0.369,0.585,175.805,57,Brent Faiyaz,,GHETTO GATSBY (FEAT. ALICIA KEYS),1456
97,,"['r&b', 'rap']",75.043,True,0.287,0.332,1,-10.15,0,0.0433,0.678,0.00375,0.11,0.204,177.804,57,Brent Faiyaz,,HEAL YOUR HEART (INTERLUDE),1457
98,,"['r&b', 'rap']",198.003,True,0.783,0.48,3,-9.182,0,0.251,0.258,4.73e-06,0.305,0.364,133.086,54,Brent Faiyaz,,FYTB (FEAT. JOONY),1458
99,,"['r&b', 'rap']",301.304,True,0.443,0.72,7,-3.743,0,0.0733,0.0669,0.0,0.0909,0.374,89.378,56,Brent Faiyaz,,WASTING TIME (FEAT. DRAKE & THE NEPTUNES),1459
100,,"['k-pop', 'k-rap']",180.022,False,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,67,j-hope,,MORE,1460
101,,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",224.996,True,0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,83,Rauw Alejandro,,Desesperados,1461
102,,"['atl hip hop', 'atl trap', 'rap', 'trap']",235.5,True,0.824,0.583,1,-6.537,1,0.147,0.00253,0.0,0.266,0.154,147.496,55,Lil Baby,,U-Digg (feat. 42 Dugg & Veeze),1462
103,,"['pluggnb', 'rage rap']",165.517,False,0.639,0.518,7,-13.892,0,0.312,0.108,0.0,0.307,0.497,145.058,52,Yeat,,Rich Minion,1463
104,,['pop'],264.438,False,0.476,0.189,11,-13.777,0,0.0329,0.904,4.52e-06,0.254,0.324,115.851,63,Taylor Swift,,Carolina - From The Motion Picture “Where The Crawdads Sing”,1465
105,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",266.178,False,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,59,Drake,,Falling Back,1466
106,,"['contemporary country', 'country']",208.733,False,0.54,0.694,7,-4.477,1,0.0275,0.144,0.0,0.197,0.444,146.148,53,Luke Combs,,Tomorrow Me,1467
107,,['lgbtq+ hip hop'],180.666,True,0.872,0.422,1,-7.415,0,0.363,0.0254,0.0,0.109,0.778,149.956,52,Lil Nas X,,Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),1468
108,,"['detroit hip hop', 'hip hop', 'rap']",215.12,True,0.73,0.785,9,-7.986,0,0.243,0.105,0.0,0.0445,0.596,82.037,61,Eminem,,From The D 2 The LBC (with Snoop Dogg),1469
109,,"['r&b', 'rap']",220.76,True,0.739,0.58,1,-7.414,1,0.0637,0.0395,0.0,0.114,0.452,96.501,55,Chris Brown,,Psychic,1471
110,,"['r&b', 'rap']",234.946,False,0.695,0.603,1,-6.543,1,0.104,0.0992,0.0,0.084,0.9,86.987,47,Chris Brown,,WE (Warm Embrace),1472
